lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20.1667,124,0,305.32,31.1605,20.7378,30.3155
20.1667,124.083,0,307.163,31.3486,20.6906,30.3262
20.1667,124.167,0,308.684,31.5038,19.4567,29.1399
20.1667,124.25,0,309.909,31.6288,17.1504,26.8721
20.1667,124.333,0,310.891,31.7291,14.0113,23.7638
20.1667,124.417,0,311.706,31.8123,10.3755,20.1535
20.1667,124.5,0,312.437,31.8869,6.63178,16.4328
20.1667,124.583,0,313.175,31.9622,3.17074,12.9949
20.1667,124.667,0,313.997,32.0462,0.336321,10.1863
20.1667,124.75,0,314.97,32.1454,-1.61253,8.26794
20.1667,124.833,0,316.136,32.2644,-2.52616,7.39087
20.1667,124.917,0,317.512,32.4049,-2.37333,7.58688
20.1667,125,0,319.095,32.5664,-1.23657,8.77329
20.1667,125.083,0,320.855,32.746,0.702982,10.768
20.1667,125.167,0,322.745,32.9389,3.18766,13.312
20.1667,125.25,0,324.705,33.139,5.90944,16.0953
20.1667,125.333,0,326.667,33.3392,8.53817,18.7856
20.1667,125.417,0,328.559,33.5323,10.7509,21.0576
20.1667,125.5,0,330.316,33.7116,12.2616,22.6234
20.1667,125.583,0,331.882,33.8715,12.8501,23.2611
20.1667,125.667,0,333.222,34.0082,12.3887,22.8417
20.1667,125.75,0,334.32,34.1202,10.8619,21.3493
20.1667,125.833,0,335.185,34.2085,8.37668,18.8913
20.1667,125.917,0,335.852,34.2766,5.15859,15.6941
20.25,118,0,165.277,16.8679,6.51413,11.6988
20.25,118.083,0,168.52,17.1989,9.69093,14.9773
20.25,118.167,0,171.579,17.5111,11.7503,17.1327
20.25,118.25,0,174.381,17.797,12.2876,17.7579
20.25,118.333,0,176.913,18.0555,11.2572,16.8069
20.25,118.417,0,179.23,18.292,9.0023,14.6247
20.25,118.5,0,181.444,18.5179,6.20193,11.8937
20.25,118.583,0,183.695,18.7477,3.73973,9.50218
20.25,118.667,0,186.127,18.9959,2.51951,8.35825
20.25,118.75,0,188.843,19.273,3.26306,9.18699
20.25,118.833,0,191.88,19.583,6.33262,12.3518
20.25,118.917,0,195.189,19.9208,11.6175,17.7405
20.25,119,0,198.635,20.2725,18.5121,24.7433
20.25,119.083,0,202.012,20.6171,25.9963,32.3333
20.25,119.167,0,205.075,20.9297,32.8049,39.238
20.25,119.25,0,207.586,21.186,37.6584,44.1703
20.25,119.333,0,209.357,21.3667,39.5073,46.0748
20.25,119.417,0,210.285,21.4614,37.7432,44.3398
20.25,119.5,0,210.38,21.4711,32.3293,38.9288
20.25,119.583,0,209.761,21.408,23.8226,30.4027
20.25,119.667,0,208.643,21.2938,13.2783,19.8234
20.25,119.75,0,207.292,21.156,2.0525,8.55518
20.25,119.833,0,205.985,21.0225,-8.46034,-1.99868
20.25,119.917,0,204.953,20.9172,-17.1013,-10.672
20.25,120,0,204.347,20.8554,-23.1777,-16.7674
20.25,120.083,0,204.212,20.8416,-26.6002,-20.1941
20.25,120.167,0,204.489,20.8699,-27.8947,-21.48
20.25,120.25,0,205.037,20.9258,-28.0833,-21.6513
20.25,120.333,0,205.682,20.9916,-28.4515,-21.9994
20.25,120.417,0,206.264,21.051,-30.2494,-23.779
20.25,120.5,0,206.699,21.0954,-34.3816,-27.8976
20.25,120.583,0,207.015,21.1277,-41.1537,-34.6597
20.25,120.667,0,207.378,21.1647,-50.1271,-43.6217
20.25,120.75,0,208.076,21.2359,-60.1182,-53.591
20.25,120.833,0,209.487,21.38,-69.3515,-62.78
20.25,120.917,0,212.02,21.6385,-75.7416,-69.0906
20.25,121,0,216.035,22.0483,-77.2592,-70.4823
20.25,121.083,0,221.773,22.6339,-72.315,-65.3581
20.25,121.167,0,229.292,23.4012,-60.0897,-52.8969
20.25,121.25,0,238.428,24.3337,-40.7496,-33.2702
20.25,121.333,0,248.796,25.3918,-15.5041,-7.6995
20.25,121.417,0,259.815,26.5164,13.5095,21.6598
20.25,121.5,0,270.777,27.6351,43.4973,51.9914
20.25,121.583,0,280.925,28.6709,71.3921,80.2046
20.25,121.667,0,289.556,29.5517,94.2856,103.369
20.25,121.75,0,296.1,30.2195,109.837,119.125
20.25,121.833,0,300.197,30.6377,116.591,126.009
20.25,121.917,0,301.734,30.7945,114.161,123.626
20.25,122,0,300.851,30.7045,103.237,112.674
20.25,122.083,0,297.915,30.4048,85.4484,94.7939
20.25,122.167,0,293.458,29.9499,63.0865,72.2922
20.25,122.25,0,288.106,29.4037,38.7522,47.79
20.25,122.333,0,282.5,28.8316,14.988,23.8499
20.25,122.417,0,277.217,28.2924,-6.04855,2.64763
20.25,122.5,0,272.716,27.833,-22.8198,-14.2648
20.25,122.583,0,269.304,27.4849,-34.5243,-26.0763
20.25,122.667,0,267.127,27.2626,-41.0868,-32.7071
20.25,122.75,0,266.184,27.1664,-43.0406,-34.6905
20.25,122.833,0,266.36,27.1844,-41.3344,-32.9788
20.25,122.917,0,267.471,27.2977,-37.1066,-28.7161
20.25,123,0,269.3,27.4844,-31.4711,-23.0232
20.25,123.083,0,271.641,27.7233,-25.3507,-16.8294
20.25,123.167,0,274.32,27.9968,-19.3799,-10.7746
20.25,123.25,0,277.208,28.2915,-13.8838,-5.18784
20.25,123.333,0,280.219,28.5988,-8.92336,-0.132997
20.25,123.417,0,283.3,28.9133,-4.38746,4.49957
20.25,123.5,0,286.418,29.2314,-0.102035,8.88278
20.25,123.583,0,289.538,29.5499,4.06873,13.1514
20.25,123.667,0,292.62,29.8644,8.15199,17.3314
20.25,123.75,0,295.609,30.1695,12.0383,21.3115
20.25,123.833,0,298.436,30.458,15.4978,24.8596
20.25,123.917,0,301.031,30.7229,18.2314,27.6747
20.25,124,0,303.33,30.9575,19.9428,29.4581
20.25,124.083,0,305.29,31.1575,20.4111,29.9879
20.25,124.167,0,306.897,31.3215,19.5495,29.1767
20.25,124.25,0,308.171,31.4515,17.4363,27.1035
20.25,124.333,0,309.167,31.5532,14.3135,24.0119
20.25,124.417,0,309.966,31.6347,10.5553,20.2788
20.25,124.5,0,310.667,31.7063,6.61419,16.3597
20.25,124.583,0,311.372,31.7782,2.95559,12.7232
20.25,124.667,0,312.174,31.8601,-0.00608208,9.78671
20.25,124.75,0,313.149,31.9596,-1.95985,7.86351
20.25,124.833,0,314.343,32.0814,-2.73201,7.12881
20.25,124.917,0,315.774,32.2275,-2.2987,7.60701
20.25,125,0,317.429,32.3964,-0.77861,9.17903
20.25,125.083,0,319.27,32.5843,1.59032,11.6057
20.25,125.167,0,321.237,32.785,4.48444,14.5615
20.25,125.25,0,323.257,32.9912,7.53299,17.6734
20.25,125.333,0,325.254,33.195,10.3572,20.5603
20.25,125.417,0,327.15,33.3885,12.607,22.8696
20.25,125.5,0,328.882,33.5652,13.9937,24.3106
20.25,125.583,0,330.396,33.7198,14.3173,24.6817
20.25,125.667,0,331.665,33.8493,13.4871,23.8913
20.25,125.75,0,332.682,33.9531,11.5339,21.97
20.25,125.833,0,333.466,34.0331,8.61223,19.0729
20.25,125.917,0,334.061,34.0938,4.98868,15.468
20.3333,118,0,164.618,16.8007,9.09753,14.2616
20.3333,118.083,0,167.884,17.134,12.6866,17.9531
20.3333,118.167,0,170.936,17.4455,14.9921,20.3543
20.3333,118.25,0,173.692,17.7268,15.5559,21.0045
20.3333,118.333,0,176.14,17.9766,14.3226,19.848
20.3333,118.417,0,178.341,18.2012,11.67,17.2645
20.3333,118.5,0,180.419,18.4133,8.34769,14.0074
20.3333,118.583,0,182.532,18.629,5.33121,11.0572
20.3333,118.667,0,184.838,18.8644,3.6189,9.41722
20.3333,118.75,0,187.454,19.1313,4.0109,9.89129
20.3333,118.833,0,190.424,19.4344,6.91629,12.8898
20.3333,118.917,0,193.698,19.7685,12.2306,18.3069
20.3333,119,0,197.132,20.1191,19.3134,25.4974
20.3333,119.083,0,200.508,20.4636,27.0754,33.3652
20.3333,119.167,0,203.566,20.7756,34.163,40.5488
20.3333,119.25,0,206.051,21.0293,39.2069,45.6707
20.3333,119.333,0,207.764,21.2042,41.0852,47.6027
20.3333,119.417,0,208.6,21.2895,39.149,45.6928
20.3333,119.5,0,208.571,21.2865,33.363,39.9058
20.3333,119.583,0,207.808,21.2086,24.3269,30.8458
20.3333,119.667,0,206.54,21.0792,13.1727,19.6518
20.3333,119.75,0,205.055,20.9276,1.35136,7.78388
20.3333,119.833,0,203.646,20.7839,-9.64743,-3.2591
20.3333,119.917,0,202.559,20.6729,-18.5895,-12.2352
20.3333,120,0,201.95,20.6107,-24.7419,-18.4068
20.3333,120.083,0,201.859,20.6015,-28.0191,-21.6868
20.3333,120.167,0,202.216,20.6379,-28.9946,-22.6512
20.3333,120.25,0,202.86,20.7036,-28.7724,-22.4087
20.3333,120.333,0,203.594,20.7786,-28.7384,-22.3517
20.3333,120.417,0,204.24,20.8445,-30.2396,-23.8327
20.3333,120.5,0,204.697,20.8911,-34.2546,-27.8333
20.3333,120.583,0,204.987,20.9207,-41.1221,-34.6917
20.3333,120.667,0,205.277,20.9503,-50.3868,-43.9473
20.3333,120.75,0,205.87,21.0108,-60.8001,-54.342
20.3333,120.833,0,207.166,21.1431,-70.4829,-63.9842
20.3333,120.917,0,209.599,21.3914,-77.2274,-70.6523
20.3333,121,0,213.553,21.7949,-78.8868,-72.1877
20.3333,121.083,0,219.288,22.3803,-73.7834,-66.9044
20.3333,121.167,0,226.872,23.1542,-61.0588,-53.9419
20.3333,121.25,0,236.138,24.0999,-40.9011,-33.4935
20.3333,121.333,0,246.686,25.1764,-14.6026,-6.86409
20.3333,121.417,0,257.911,26.322,15.5659,23.6565
20.3333,121.5,0,269.073,27.4612,46.6469,55.0877
20.3333,121.583,0,279.385,28.5136,75.4072,84.1715
20.3333,121.667,0,288.114,29.4045,98.798,107.836
20.3333,121.75,0,294.674,30.074,114.388,123.632
20.3333,121.833,0,298.699,30.4848,120.701,130.071
20.3333,121.917,0,300.084,30.6261,117.397,126.81
20.3333,122,0,298.989,30.5145,105.283,114.662
20.3333,122.083,0,295.811,30.1901,86.1491,95.4286
20.3333,122.167,0,291.115,29.7108,62.4678,71.6
20.3333,122.25,0,285.56,29.1439,37.0118,45.9698
20.3333,122.333,0,279.811,28.5571,12.4575,21.2351
20.3333,122.417,0,274.46,28.011,-8.96234,-0.352609
20.3333,122.5,0,269.967,27.5525,-25.7039,-17.2351
20.3333,122.583,0,266.629,27.2118,-37.0271,-28.663
20.3333,122.667,0,264.571,27.0017,-42.9726,-34.6731
20.3333,122.75,0,263.764,26.9194,-44.2215,-35.9473
20.3333,122.833,0,264.067,26.9503,-41.8754,-33.5917
20.3333,122.917,0,265.27,27.0731,-37.2041,-28.8826
20.3333,123,0,267.143,27.2643,-31.4095,-23.0293
20.3333,123.083,0,269.473,27.502,-25.4458,-16.9925
20.3333,123.167,0,272.09,27.7692,-19.9196,-11.3842
20.3333,123.25,0,274.881,28.054,-15.077,-6.454
20.3333,123.333,0,277.781,28.3499,-10.8657,-2.15177
20.3333,123.417,0,280.759,28.6538,-7.04856,1.75876
20.3333,123.5,0,283.801,28.9644,-3.33595,5.56682
20.3333,123.583,0,286.891,29.2797,0.493934,9.49364
20.3333,123.667,0,289.995,29.5965,4.51159,13.6086
20.3333,123.75,0,293.054,29.9087,8.60414,17.7971
20.3333,123.833,0,295.992,30.2085,12.4958,21.781
20.3333,123.917,0,298.722,30.4872,15.8114,25.1823
20.3333,124,0,301.165,30.7365,18.1639,27.6114
20.3333,124.083,0,303.26,30.9503,19.2452,28.7583
20.3333,124.167,0,304.981,31.1259,18.8994,28.4666
20.3333,124.25,0,306.34,31.2647,17.1642,26.774
20.3333,124.333,0,307.391,31.3719,14.2727,23.9154
20.3333,124.417,0,308.22,31.4565,10.6192,20.288
20.3333,124.5,0,308.932,31.5292,6.69661,16.3877
20.3333,124.583,0,309.64,31.6015,3.01942,12.7328
20.3333,124.667,0,310.447,31.6838,0.0481075,9.78676
20.3333,124.75,0,311.434,31.7845,-1.8732,7.89639
20.3333,124.833,0,312.65,31.9086,-2.55629,7.25145
